Rank,Gameboy,Gameboy Color,Gameboy Advance,Nintendo DS,Nintendo 3DS,Nintendo DSI,NES,SNES,N64,Gamecube,Wii,Wii U,Switch,Sega SG-1000,Sega Master System,Sega Megadrive/Genesis,Sega GameGear,Sega 32X,Sega CD,Sega Saturn,Dreamcast,PSX,PS2,PS3,PS4,PSP,PS Vita,Amiga,TurboGrafx-16,Atari Lynx,DOS,MSX,MSX2,FBNeo,Neo Geo
1,The Legend of Zelda: Link's Awakening,The Legend of Zelda: Oracle of Ages,The Legend of Zelda: A Link to the Past / Four Swords,Grand Theft Auto: Chinatown Wars,The Legend of Zelda: Ocarina of Time 3D,Cave Story,Super Mario Bros. 3,The Legend of Zelda: A Link to the Past,The Legend of Zelda: Ocarina of Time,Super Smash Bros. Melee,Super Mario Galaxy,The Legend of Zelda: Breath of the Wild,The Legend of Zelda: Tears of the Kingdom,Wonder Boy,Phantasy Star,Sonic the Hedgehog 2,Sonic Triple Trouble,Doom,Sonic CD,NiGHTS into Dreams...,Soul Calibur,Tony Hawk's Pro Skater 2,Resident Evil 4,Uncharted 2: Among Thieves,The Witcher 3: Wild Hunt,Persona 3 Portable,Persona 4 Golden,Sid Meier's Civilization,Castlevania: Rondo of Blood,Chip's Challenge,Sid Meier's Civilization,Penguin Adventure,Metal Gear 2: Solid Snake,Alien vs. Predator,Metal Slug 3
2,Tetris,The Legend of Zelda: Oracle of Seasons,Tony Hawk's Pro Skater 2,Chrono Trigger,The Legend of Zelda: A Link Between Worlds,Shantae: Risky's Revenge,The Legend of Zelda,Chrono Trigger,Super Mario 64,The Legend of Zelda: The Wind Waker,Super Mario Galaxy 2,Mario Kart 8,The Legend of Zelda: Breath of the Wild,Flicky,Wonder Boy III: The Dragon's Trap,Sonic the Hedgehog 3,Sonic the Hedgehog,Star Wars Arcade,Lunar: The Silver Star,Panzer Dragoon Saga,Shenmue,Tekken 3,Metal Gear Solid 3: Snake Eater,The Last of Us,Red Dead Redemption 2,Metal Gear Solid: Peace Walker,Tearaway,Dune II: The Building of a Dynasty,Ys Book I & II,Blue Lightning,Sid Meier's Civilization II,Knightmare (Majou Densetsu),Snatcher,Dungeons & Dragons: Shadow over Mystara,Metal Slug X
3,Pokemon Red,Pokemon Crystal,Super Mario Advance 4: Super Mario Bros. 3,Mario Kart DS,The Legend of Zelda: Majora's Mask 3D,Flipnote Studio,Super Mario Bros.,Super Mario World,GoldenEye 007,Resident Evil 4,Xenoblade Chronicles,Super Smash Bros. for Wii U,Super Mario Odyssey,The Castle,Sonic the Hedgehog,Sonic & Knuckles,Sonic the Hedgehog 2,Virtua Racing Deluxe,Lunar: Eternal Blue,Shining Force III,Sonic Adventure,Gran Turismo,Grand Theft Auto: San Andreas,Metal Gear Solid 4: Guns of the Patriots,God of War,Valkyria Chronicles 2,Rayman Legends,Indiana Jones and the Fate of Atlantis,Blazing Lasers,Todd's Adventures in Slime World,Doom,The Maze of Galious,SD Snatcher,Dungeons & Dragons: Tower of Doom,Metal Slug
4,Pokemon Blue,Pokemon Gold,Metroid Fusion,Mario & Luigi: Bowser's Inside Story,Fire Emblem: Awakening,Art Style: PiCTOBiTS,Mike Tyson's Punch-Out!!,Final Fantasy VI,The Legend of Zelda: Majora's Mask,Metroid Prime,Super Smash Bros. Brawl,Xenoblade Chronicles X,Mario Kart 8 Deluxe,Doki Doki Penguin Land,Castle of Illusion Starring Mickey Mouse,Streets of Rage 2,Shining Force: The Sword of Hajya,Knuckles' Chaotix,Snatcher,Guardian Heroes,Skies of Arcadia,Metal Gear Solid,Okami,Red Dead Redemption,The Last of Us Part II,Kingdom Hearts: Birth by Sleep,Odin Sphere: Leifthrasir,Monkey Island 2: LeChuck's Revenge,Lords of Thunder,California Games,Doom II: Hell on Earth,King's Valley II: The Seal of El Giza,Space Manbow,Strider,Blazing Star
5,Super Mario Land 2: 6 Golden Coins,Pokemon Silver,Advance Wars,Advance Wars: Dual Strike,Super Mario 3D Land,Art Style: BOXLIFE,Mega Man 2,Super Metroid,Super Smash Bros.,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Skyward Sword,Super Mario 3D World,Animal Crossing: New Horizons,Choplifter,Alex Kidd in Miracle World,Gunstar Heroes,The GG Shinobi,Kolibri,Silpheed,Panzer Dragoon Zwei,Jet Grind Radio,Final Fantasy VII,Metal Gear Solid 2: Sons of Liberty,Dark Souls,Uncharted 4: A Thief's End,Castlevania: The Dracula X Chronicles,Hotline Miami,The Secret of Monkey Island,Gate of Thunder,Lemmings,WarCraft II: Tides of Darkness,Gradius (Nemesis),Aleste 2,OutRun,Garou: Mark of the Wolves
6,Donkey Kong (1994),The Legend of Zelda: Link's Awakening DX,The Legend of Zelda: The Minish Cap,The Legend of Zelda: Phantom Hourglass,Animal Crossing: New Leaf,Art Style: Aquia,Contra,Super Mario RPG: Legend of the Seven Stars,Mario Kart 64,Super Mario Sunshine,Metroid Prime Trilogy,Super Mario Maker,Super Smash Bros. Ultimate,Lode Runner,Power Strike II,Phantasy Star IV,Land of Illusion Starring Mickey Mouse,Virtua Fighter,Popful Mail,Radiant Silvergun,Shenmue II,Castlevania: Symphony of the Night,Shin Megami Tensei: Persona 4,Grand Theft Auto V,Bloodborne,Final Fantasy Tactics: The War of the Lions,Final Fantasy X/X-2 HD Remaster,X-COM: UFO Defense,Soldier Blade,Crystal Mines II,The Oregon Trail,Zanac,Ys II: Ancient Ys Vanished - The Final Chapter,The Simpsons,The Last Blade 2
7,Pokemon Yellow,Wario Land 3,Castlevania: Aria of Sorrow,New Super Mario Bros.,Pokemon X,Art Style: precipice,Final Fantasy,Super Mario World 2: Yoshi's Island,Banjo-Kazooie,Paper Mario: The Thousand-Year Door,The Legend of Zelda: Twilight Princess,Donkey Kong Country: Tropical Freeze,Metroid Dread,Championship Lode Runner,Golvellius: Valley of Doom,Shining Force II,Castle of Illusion Starring Mickey Mouse,Stellar Assault,Vay,Dragon Force,Marvel vs. Capcom 2: New Age of Heroes,Final Fantasy IX,God of War II,Mass Effect 2,Persona 5 Royal,Jeanne d'Arc,Minecraft: PlayStation Vita Edition,SimCity,Devil's Crush,Warbirds,SimCity,The Goonies,Metal Gear,Teenage Mutant Ninja Turtles: Turtles in Time,Neo Turf Masters
8,Wario Land: Super Mario Land 3,Metal Gear Solid (Ghost Babel),Pokemon Emerald,Castlevania: Dawn of Sorrow,Pokemon Y,GO Series: Undead Storm,Metroid,Donkey Kong Country 2: Diddy's Kong Quest,Perfect Dark,Tales of Symphonia,Mario Kart Wii,Bayonetta 2,Hades,Bank Panic,Land of Illusion Starring Mickey Mouse,Sonic the Hedgehog,Defenders of Oasis,After Burner Complete,Final Fight CD,Sega Rally Championship,Sonic Adventure 2,Resident Evil 2,Grand Theft Auto: Vice City,Batman: Arkham City,Metal Gear Solid V: The Phantom Pain,Crisis Core: Final Fantasy VII,SteamWorld Heist,Utopia: The Creation of a Nation,Military Madness,Klax,The Need for Speed,Eggerland Mystery,Fray in Magical Adventure,Cadillacs and Dinosaurs,Pulstar
9,Metroid II: Return of Samus,Super Mario Bros. Deluxe,Pokemon Ruby,Meteos,Pokemon Sun,Crazy Kangaroo,Super Mario Bros. 2,Super Mario All-Stars,Star Fox 64,Mario Kart: Double Dash!!,Donkey Kong Country Returns,The Legend of Zelda: The Wind Waker HD,Super Mario Bros. Wonder,The Black Onyx,Master of Darkness,Contra Hard Corps,Sonic Chaos,Space Harrier,The Adventures of Batman & Robin,Virtua Fighter 2,Grandia II,Gran Turismo 2,Grand Theft Auto III,The Elder Scrolls V: Skyrim,Marvel's Spider-Man,God of War: Ghost of Sparta,Dragon's Crown,Out of This World,Bonk's Revenge,Ms. Pac-Man,Heroes of Might and Magic,Road Fighter,Illusion City: Gen'ei Toshi,Knights of the Round,Sengoku 3
10,Kirby's Dream Land 2,Shantae,Pokemon Sapphire,The World Ends with You,Pokemon Moon,Art Style: DIGIDRIVE,Tecmo Super Bowl,Super Mario Kart,Paper Mario,F-Zero GX,The Last Story,Hyrule Warriors,Xenoblade Chronicles 3,Ninja Princess,Golden Axe Warrior,Shinobi III: Return of the Ninja Master,Streets of Rage 2,Metal Head,Ecco the Dolphin,Saturn Bomberman,Crazy Taxi,Crash Team Racing,Shadow of the Colossus,Demon's Souls,Final Fantasy VII Remake,Tactics Ogre: Let Us Cling Together,Tales from Space: Mutant Blobs Attack,Maniac Mansion,Bonk's Adventure,Robotron: 2084,Master of Orion II: Battle at Antares,Hydlide,Vampire Killer,Darius Gaiden,Shock Troopers
